Time,Species.1,Species.2,Species.3
51.7,0.0291564,0.030292,0.0410783
51.8,0.0291648,0.0300844,0.0412922
51.9,0.0291696,0.029879,0.0415077
52,0.0291709,0.0296757,0.0417245
52.1,0.0291688,0.0294747,0.0419426
52.2,0.0291632,0.0292759,0.0421621
52.3,0.0291542,0.0290795,0.0423828
52.4,0.0291417,0.0288853,0.0426047
52.5,0.0291258,0.0286935,0.0428278
52.6,0.0291065,0.028504,0.0430519
52.7,0.0290838,0.0283169,0.0432771
52.8,0.0290577,0.0281322,0.0435033
52.9,0.0290284,0.02795,0.0437305
53,0.0289956,0.0277702,0.0439585
53.1,0.0289596,0.0275929,0.0441874
53.2,0.0289204,0.027418,0.0444171
53.3,0.0288779,0.0272456,0.0446474
53.4,0.0288322,0.0270758,0.0448785
53.5,0.0287834,0.0269084,0.0451102
53.6,0.0287314,0.0267436,0.0453424
53.7,0.0286763,0.0265814,0.0455752
53.8,0.0286182,0.0264217,0.0458083
53.9,0.0285571,0.0262645,0.0460419
54,0.028493,0.02611,0.0462758
54.1,0.028426,0.025958,0.04651
54.2,0.0283561,0.0258086,0.0467445
54.3,0.0282834,0.0256618,0.046979
54.4,0.0282078,0.0255176,0.0472137
54.5,0.0281295,0.025376,0.0474485
54.6,0.0280486,0.025237,0.0476832
54.7,0.027965,0.0251006,0.0479178
54.8,0.0278787,0.0249668,0.0481524
54.9,0.02779,0.0248356,0.0483867
55,0.0276987,0.024707,0.0486208
55.1,0.0276051,0.024581,0.0488547
55.2,0.027509,0.0244577,0.0490881
55.3,0.0274106,0.0243369,0.0493212
55.4,0.0273099,0.0242187,0.0495538
55.5,0.027207,0.0241031,0.0497859
55.6,0.0271019,0.0239901,0.0500174
55.7,0.0269948,0.0238796,0.0502482
55.8,0.0268855,0.0237718,0.0504784
55.9,0.0267743,0.0236665,0.0507078
56,0.0266612,0.0235638,0.0509365
56.1,0.0265461,0.0234636,0.0511643
56.2,0.0264293,0.023366,0.0513912
56.3,0.0263107,0.023271,0.0516171
56.4,0.0261904,0.0231784,0.051842
56.5,0.0260684,0.0230884,0.0520659
56.6,0.0259449,0.0230009,0.0522886
56.7,0.0258198,0.022916,0.0525102
56.8,0.0256932,0.0228335,0.0527306
56.9,0.0255653,0.0227535,0.0529497
57,0.0254359,0.022676,0.0531675
57.1,0.0253053,0.0226009,0.0533839
57.2,0.0251735,0.0225283,0.0535989
57.3,0.0250404,0.0224582,0.0538125
57.4,0.0249062,0.0223905,0.0540246
57.5,0.024771,0.0223252,0.0542351
57.6,0.0246347,0.0222623,0.0544441
57.7,0.0244975,0.0222019,0.0546514
57.8,0.0243594,0.0221438,0.054857
57.9,0.0242204,0.0220881,0.055061
58,0.0240806,0.0220348,0.0552631
58.1,0.0239401,0.0219838,0.0554635
58.2,0.0237988,0.0219352,0.055662
58.3,0.023657,0.0218889,0.0558587
58.4,0.0235145,0.021845,0.0560534
58.5,0.0233715,0.0218033,0.0562462
58.6,0.023228,0.021764,0.056437
58.7,0.0230841,0.0217269,0.0566258
58.8,0.0229398,0.0216921,0.0568125
58.9,0.0227951,0.0216596,0.0569972
59,0.0226501,0.0216293,0.0571797
59.1,0.0225049,0.0216012,0.05736
59.2,0.0223595,0.0215754,0.0575382
59.3,0.0222139,0.0215518,0.0577141
59.4,0.0220682,0.0215304,0.0578878
59.5,0.0219224,0.0215112,0.0580592
59.6,0.0217766,0.0214942,0.0582284
59.7,0.0216308,0.0214793,0.0583951
59.8,0.021485,0.0214666,0.0585596
59.9,0.0213393,0.0214561,0.0587216
60,0.0211937,0.0214476,0.0588813
60.1,0.0210483,0.0214413,0.0590385
60.2,0.0209031,0.0214371,0.0591932
60.3,0.0207582,0.0214351,0.0593455
60.4,0.0206135,0.0214351,0.0594953
60.5,0.0204691,0.0214371,0.0596426
60.6,0.020325,0.0214413,0.0597873
60.7,0.0201813,0.0214475,0.0599295
60.8,0.0200381,0.0214557,0.0600692
60.9,0.0198952,0.021466,0.0602062
61,0.0197528,0.0214783,0.0603406
61.1,0.0196109,0.0214926,0.0604725
61.2,0.0194695,0.021509,0.0606016
61.3,0.0193287,0.0215273,0.0607282
61.4,0.0191884,0.0215476,0.060852
61.5,0.0190488,0.0215699,0.0609732
61.6,0.0189098,0.0215941,0.0610918
61.7,0.0187714,0.0216203,0.0612076
61.8,0.0186336,0.0216484,0.0613207
61.9,0.0184966,0.0216785,0.0614311
62,0.0183603,0.0217105,0.0615388
62.1,0.0182247,0.0217444,0.0616437
62.2,0.0180899,0.0217802,0.0617459
62.3,0.0179559,0.0218179,0.0618453
62.4,0.0178226,0.0218575,0.061942
62.5,0.0176902,0.021899,0.062036
62.6,0.0175586,0.0219424,0.0621271
62.7,0.0174279,0.0219876,0.0622155
62.8,0.017298,0.0220346,0.0623012
62.9,0.017169,0.0220835,0.062384
63,0.0170409,0.0221343,0.0624641
63.1,0.0169136,0.0221868,0.0625414
63.2,0.0167874,0.0222412,0.0626159
63.3,0.016662,0.0222974,0.0626876
63.4,0.0165376,0.0223553,0.0627565
63.5,0.0164141,0.0224151,0.0628227
63.6,0.0162916,0.0224766,0.0628861
63.7,0.0161701,0.0225399,0.0629466
63.8,0.0160496,0.022605,0.0630044
63.9,0.0159301,0.0226718,0.0630595
64,0.0158116,0.0227404,0.0631117
64.1,0.0156941,0.0228106,0.0631612
64.2,0.0155776,0.0228827,0.0632079
64.3,0.0154621,0.0229564,0.0632518
64.4,0.0153477,0.0230318,0.063293
64.5,0.0152343,0.023109,0.0633314
64.6,0.015122,0.0231878,0.063367
64.7,0.0150107,0.0232683,0.0634
