Time,Species.1,Species.2,Species.3,Species.4,Species.5,Species.6,Species.7
21.2,31.6228,7.24436,2.91411,0.451709,0.613073,0.604869,1.03871
21.3,31.6228,7.24436,2.94252,0.464296,0.619207,0.616685,1.04248
21.4,31.6228,7.24436,2.96972,0.476667,0.62566,0.628291,1.04636
21.5,31.6228,7.24436,2.99573,0.488811,0.632398,0.639674,1.05034
21.6,31.6228,7.24436,3.02059,0.500718,0.639389,0.650823,1.05438
21.7,31.6228,7.24436,3.04433,0.512381,0.646598,0.661729,1.05848
21.8,31.6228,7.24436,3.06697,0.523794,0.653992,0.672382,1.06261
21.9,31.6228,7.24436,3.08855,0.534951,0.661537,0.682775,1.06678
22,31.6228,7.24436,3.1091,0.54585,0.669201,0.692902,1.07095
22.1,31.6228,7.24436,3.12866,0.556488,0.676952,0.702758,1.07512
22.2,31.6228,7.24436,3.14726,0.566865,0.684759,0.712339,1.07928
22.3,31.6228,7.24436,3.16494,0.576982,0.692593,0.721642,1.08341
22.4,31.6228,7.24436,3.18173,0.586839,0.700428,0.730664,1.08751
22.5,31.6228,7.24436,3.19767,0.596439,0.708237,0.739404,1.09156
22.6,31.6228,7.24436,3.21279,0.605785,0.715996,0.747864,1.09556
22.7,31.6228,7.24436,3.22712,0.614882,0.723685,0.756042,1.09949
22.8,31.6228,7.24436,3.24071,0.623733,0.731283,0.763942,1.10336
22.9,31.6228,7.24436,3.25358,0.632344,0.738772,0.771565,1.10715
23,31.6228,7.24436,3.26576,0.64072,0.746137,0.778914,1.11086
23.1,31.6228,7.24436,3.27729,0.648867,0.753365,0.785992,1.11448
23.2,31.6228,7.24436,3.2882,0.656791,0.760442,0.792805,1.11802
23.3,31.6228,7.24436,3.29851,0.664499,0.767358,0.799356,1.12146
23.4,31.6228,7.24436,3.30826,0.671997,0.774106,0.80565,1.12481
23.5,31.6228,7.24436,3.31747,0.679292,0.780678,0.811694,1.12807
23.6,31.6228,7.24436,3.32617,0.68639,0.787068,0.817493,1.13122
23.7,31.6228,7.24436,3.33439,0.693299,0.793272,0.823052,1.13428
23.8,31.6228,7.24436,3.34214,0.700026,0.799287,0.828379,1.13723
23.9,31.6228,7.24436,3.34946,0.706576,0.805112,0.83348,1.14009
24,31.6228,7.24436,3.35637,0.712958,0.810745,0.838361,1.14285
24.1,31.6228,7.24436,3.36288,0.719177,0.816185,0.843028,1.14551
24.2,31.6228,7.24436,3.36902,0.725239,0.821435,0.84749,1.14808
24.3,31.6228,7.24436,3.37481,0.731153,0.826496,0.851753,1.15055
24.4,31.6228,7.24436,3.38027,0.736922,0.831369,0.855823,1.15293
24.5,31.6228,7.24436,3.38542,0.742555,0.836057,0.859707,1.15521
24.6,31.6228,7.24436,3.39027,0.748056,0.840563,0.863413,1.1574
24.7,31.6228,7.24436,3.39483,0.753431,0.844892,0.866946,1.15951
24.8,31.6228,7.24436,3.39914,0.758686,0.849046,0.870313,1.16153
24.9,31.6228,7.24436,3.40319,0.763826,0.853031,0.873521,1.16346
25,31.6228,7.24436,3.407,0.768857,0.85685,0.876577,1.16532
25.1,31.6228,7.24436,3.4106,0.773783,0.860507,0.879485,1.16709
25.2,31.6228,7.24436,3.41398,0.77861,0.864009,0.882253,1.16879
25.3,31.6228,7.24436,3.41716,0.783341,0.867358,0.884887,1.17041
25.4,31.6228,7.24436,3.42016,0.787981,0.870561,0.887391,1.17196
25.5,31.6228,7.24436,3.42298,0.792535,0.873622,0.889772,1.17345
25.6,31.6228,7.24436,3.42563,0.797006,0.876546,0.892036,1.17486
25.7,31.6228,7.24436,3.42813,0.801399,0.879338,0.894186,1.17622
25.8,31.6228,7.24436,3.43048,0.805717,0.882002,0.896229,1.17751
25.9,31.6228,7.24436,3.43269,0.809963,0.884544,0.89817,1.17874
26,31.6228,7.24436,3.43477,0.814142,0.886969,0.900012,1.17991
26.1,31.6228,7.24436,3.43672,0.818255,0.88928,0.901761,1.18103
26.2,31.6228,7.24436,3.43856,0.822307,0.891482,0.903422,1.18209
26.3,31.6228,7.24436,3.44029,0.8263,0.89358,0.904997,1.18311
26.4,31.6228,7.24436,3.44192,0.830237,0.895578,0.906492,1.18407
26.5,31.6228,7.24436,3.44345,0.834121,0.897481,0.90791,1.18499
26.6,31.6228,7.24436,3.44488,0.837954,0.899292,0.909254,1.18587
26.7,31.6228,7.24436,3.44624,0.841738,0.901015,0.910529,1.1867
26.8,31.6228,7.24436,3.44751,0.845475,0.902655,0.911738,1.18749
26.9,31.6228,7.24436,3.4487,0.849169,0.904214,0.912884,1.18825
27,31.6228,7.24436,3.44983,0.85282,0.905697,0.913971,1.18896
27.1,31.6228,7.24436,3.45088,0.856431,0.907107,0.915,1.18964
27.2,31.6228,7.24436,3.45188,0.860004,0.908448,0.915976,1.19029
27.3,31.6228,7.24436,3.45281,0.863539,0.909721,0.9169,1.19091
27.4,31.6228,7.24436,3.45369,0.86704,0.910932,0.917776,1.19149
27.5,31.6228,7.24436,3.45451,0.870507,0.912081,0.918606,1.19205
27.6,31.6228,7.24436,3.45529,0.873941,0.913174,0.919392,1.19257
27.7,31.6228,7.24436,3.45601,0.877345,0.914211,0.920136,1.19307
27.8,31.6228,7.24436,3.4567,0.88072,0.915196,0.920841,1.19355
27.9,31.6228,7.24436,3.45734,0.884066,0.916131,0.921508,1.194
28,31.6228,7.24436,3.45795,0.887385,0.917019,0.92214,1.19443
28.1,31.6228,7.24436,3.45852,0.890677,0.917862,0.922739,1.19484
28.2,31.6228,7.24436,3.45905,0.893945,0.918662,0.923305,1.19522
28.3,31.6228,7.24436,3.45955,0.897189,0.919422,0.923842,1.19559
28.4,31.6228,7.24436,3.46002,0.900409,0.920142,0.924349,1.19594
28.5,31.6228,7.24436,3.46047,0.903607,0.920826,0.92483,1.19627
28.6,31.6228,7.24436,3.46089,0.906783,0.921474,0.925285,1.19658
28.7,31.6228,7.24436,3.46128,0.909939,0.92209,0.925715,1.19688
28.8,31.6228,7.24436,3.46164,0.913074,0.922673,0.926123,1.19716
28.9,31.6228,7.24436,3.46199,0.91619,0.923227,0.926508,1.19743
29,31.6228,7.24436,3.46232,0.919287,0.923752,0.926873,1.19768
29.1,31.6228,7.24436,3.46262,0.922366,0.92425,0.927218,1.19792
29.2,31.6228,7.24436,3.46291,0.925427,0.924722,0.927545,1.19815
29.3,31.6228,7.24436,3.46318,0.928471,0.92517,0.927854,1.19836
29.4,31.6228,7.24436,3.46343,0.931499,0.925594,0.928147,1.19857
29.5,31.6228,7.24436,3.46367,0.93451,0.925997,0.928423,1.19876
29.6,31.6228,7.24436,3.46389,0.937505,0.926378,0.928685,1.19895
29.7,31.6228,7.24436,3.4641,0.940485,0.92674,0.928933,1.19912
29.8,31.6228,7.24436,3.4643,0.94345,0.927083,0.929167,1.19929
29.9,31.6228,7.24436,3.46449,0.9464,0.927408,0.929389,1.19944
30,31.6228,7.24436,3.46466,0.949336,0.927716,0.929598,1.19959
30.1,31.6228,7.24436,3.46482,0.952257,0.928008,0.929797,1.19973
30.2,31.6228,7.24436,3.46498,0.955165,0.928284,0.929984,1.19987
30.3,31.6228,7.24436,3.46512,0.95806,0.928547,0.930162,1.19999
30.4,31.6228,7.24436,3.46526,0.960941,0.928795,0.93033,1.20011
30.5,31.6228,7.24436,3.46539,0.963809,0.929031,0.930489,1.20023
30.6,31.6228,7.24436,3.46551,0.966664,0.929254,0.930639,1.20034
30.7,31.6228,7.24436,3.46562,0.969507,0.929465,0.930781,1.20044
30.8,31.6228,7.24436,3.46572,0.972337,0.929666,0.930915,1.20053
30.9,31.6228,7.24436,3.46582,0.975155,0.929855,0.931042,1.20063
31,31.6228,7.24436,3.46592,0.977961,0.930035,0.931162,1.20071
31.1,31.6228,7.24436,3.466,0.980755,0.930206,0.931276,1.20079
31.2,31.6228,7.24436,3.46609,0.983537,0.930367,0.931384,1.20087
31.3,31.6228,7.24436,3.46616,0.986307,0.93052,0.931485,1.20095
31.4,31.6228,7.24436,3.46624,0.989066,0.930665,0.931581,1.20102
31.5,31.6228,7.24436,3.46631,0.991813,0.930802,0.931672,1.20108
31.6,31.6228,7.24436,3.46637,0.994549,0.930932,0.931758,1.20114
31.7,31.6228,7.24436,3.46643,0.997274,0.931055,0.93184,1.2012
31.8,31.6228,7.24436,3.46649,0.999988,0.931172,0.931917,1.20126
31.9,31.6228,7.24436,3.46654,1.00269,0.931283,0.931989,1.20131
32,31.6228,7.24436,3.46659,1.00538,0.931387,0.932058,1.20136
32.1,31.6228,7.24436,3.46664,1.00806,0.931486,0.932123,1.20141
32.2,31.6228,7.24436,3.46668,1.01073,0.93158,0.932185,1.20146
32.3,31.6228,7.24436,3.46672,1.01339,0.931669,0.932243,1.2015
32.4,31.6228,7.24436,3.46676,1.01604,0.931753,0.932298,1.20154
32.5,31.6228,7.24436,3.4668,1.01867,0.931833,0.93235,1.20158
32.6,31.6228,7.24436,3.46683,1.0213,0.931909,0.932399,1.20162
32.7,31.6228,7.24436,3.46687,1.02392,0.93198,0.932446,1.20165
32.8,31.6228,7.24436,3.4669,1.02652,0.932048,0.93249,1.20168
32.9,31.6228,7.24436,3.46692,1.02912,0.932112,0.932531,1.20171
33,31.6228,7.24436,3.46695,1.0317,0.932173,0.932571,1.20174
33.1,31.6228,7.24436,3.46698,1.03427,0.932231,0.932608,1.20177
33.2,31.6228,7.24436,3.467,1.03683,0.932285,0.932643,1.2018
33.3,31.6228,7.24436,3.46702,1.03939,0.932337,0.932676,1.20182
33.4,31.6228,7.24436,3.46704,1.04193,0.932386,0.932708,1.20185
33.5,31.6228,7.24436,3.46706,1.04446,0.932432,0.932738,1.20187
33.6,31.6228,7.24436,3.46708,1.04698,0.932476,0.932766,1.20189
33.7,31.6228,7.24436,3.4671,1.04949,0.932517,0.932792,1.20191
33.8,31.6228,7.24436,3.46712,1.05199,0.932557,0.932817,1.20193
33.9,31.6228,7.24436,3.46713,1.05448,0.932594,0.932841,1.20195
