time,total_AbsAbun,Shannon,BrayCurtis,BrayCurtis_delta_t,kld,jsd
20.3,43.9925,1.40756,0.0314422,7.0655e-05,8.95013e-06,2.23246e-06
20.4,44.054,1.4119,0.0307438,6.92922e-05,8.50962e-06,2.12274e-06
20.5,44.1145,1.41615,0.030059,6.79164e-05,8.0854e-06,2.01706e-06
20.6,44.1737,1.4203,0.0293881,6.65305e-05,7.67735e-06,1.91539e-06
20.7,44.2319,1.42436,0.028731,6.51374e-05,7.2853e-06,1.8177e-06
20.8,44.2889,1.42833,0.0280878,6.374e-05,6.90906e-06,1.72394e-06
20.9,44.3447,1.43221,0.0274586,6.2341e-05,6.54839e-06,1.63404e-06
21,44.3993,1.43599,0.0268433,6.0943e-05,6.20305e-06,1.54796e-06
21.1,44.4528,1.43968,0.026242,5.95485e-05,5.87273e-06,1.46561e-06
21.2,44.5051,1.44328,0.0256546,5.81601e-05,5.55714e-06,1.38693e-06
21.3,44.5562,1.44678,0.0250809,5.67799e-05,5.25595e-06,1.31183e-06
21.4,44.6062,1.45019,0.024521,5.541e-05,4.9688e-06,1.24022e-06
21.5,44.6549,1.45352,0.0239747,5.40526e-05,4.69534e-06,1.17202e-06
21.6,44.7026,1.45675,0.0234419,5.27094e-05,4.43518e-06,1.10713e-06
21.7,44.7491,1.45989,0.0229224,5.13823e-05,4.18793e-06,1.04546e-06
21.8,44.7944,1.46295,0.022416,5.00726e-05,3.95318e-06,9.86895e-07
21.9,44.8387,1.46592,0.0219227,4.8782e-05,3.73052e-06,9.31347e-07
22,44.8818,1.46881,0.0214421,4.75116e-05,3.51953e-06,8.78707e-07
22.1,44.9239,1.47162,0.0209741,4.62627e-05,3.31978e-06,8.28867e-07
22.2,44.9649,1.47434,0.0205184,4.50362e-05,3.13084e-06,7.81722e-07
22.3,45.0048,1.47699,0.0200748,4.3833e-05,2.95228e-06,7.37163e-07
22.4,45.0437,1.47956,0.0196432,4.26538e-05,2.78367e-06,6.95084e-07
22.5,45.0815,1.48205,0.0192232,4.14994e-05,2.62457e-06,6.55377e-07
22.6,45.1184,1.48447,0.0188146,4.03701e-05,2.47456e-06,6.17937e-07
22.7,45.1543,1.48681,0.0184171,3.92664e-05,2.33322e-06,5.82659e-07
22.8,45.1892,1.48909,0.0180305,3.81887e-05,2.20014e-06,5.49439e-07
22.9,45.2232,1.4913,0.0176546,3.7137e-05,2.0749e-06,5.18178e-07
23,45.2563,1.49344,0.017289,3.61116e-05,1.95712e-06,4.88776e-07
23.1,45.2885,1.49551,0.0169335,3.51125e-05,1.84641e-06,4.61137e-07
23.2,45.3198,1.49753,0.0165878,3.41396e-05,1.74239e-06,4.35167e-07
23.3,45.3503,1.49948,0.0162517,3.31927e-05,1.6447e-06,4.10778e-07
23.4,45.38,1.50137,0.015925,3.22719e-05,1.55299e-06,3.87881e-07
23.5,45.4088,1.50321,0.0156073,3.13767e-05,1.46692e-06,3.66392e-07
23.6,45.4369,1.50499,0.0152984,3.0507e-05,1.38618e-06,3.46231e-07
23.7,45.4642,1.50672,0.0149981,2.96624e-05,1.31045e-06,3.27321e-07
23.8,45.4908,1.50839,0.014706,2.88425e-05,1.23943e-06,3.09587e-07
23.9,45.5166,1.51002,0.0144221,2.80469e-05,1.17285e-06,2.9296e-07
24,45.5418,1.51159,0.0141459,2.72752e-05,1.11042e-06,2.77372e-07
24.1,45.5662,1.51312,0.0138773,2.65269e-05,1.05191e-06,2.62759e-07
24.2,45.5901,1.5146,0.0136161,2.58016e-05,9.97057e-07,2.49061e-07
24.3,45.6132,1.51604,0.013362,2.50988e-05,9.45641e-07,2.3622e-07
24.4,45.6358,1.51744,0.0131149,2.44179e-05,8.97442e-07,2.24183e-07
24.5,45.6578,1.5188,0.0128744,2.37583e-05,8.52255e-07,2.12897e-07
24.6,45.6791,1.52011,0.0126404,2.31197e-05,8.09886e-07,2.02316e-07
24.7,45.6999,1.52139,0.0124126,2.25013e-05,7.70153e-07,1.92392e-07
24.8,45.7202,1.52263,0.0121909,2.19027e-05,7.32885e-07,1.83084e-07
24.9,45.74,1.52384,0.0119751,2.13234e-05,6.9792e-07,1.7435e-07
25,45.7592,1.52501,0.011765,2.07627e-05,6.65107e-07,1.66155e-07
25.1,45.7779,1.52615,0.0115604,2.02201e-05,6.34303e-07,1.58461e-07
25.2,45.7962,1.52725,0.0113612,1.96951e-05,6.05377e-07,1.51235e-07
25.3,45.8139,1.52833,0.011167,1.91872e-05,5.78203e-07,1.44448e-07
25.4,45.8313,1.52937,0.0109779,1.86957e-05,5.52665e-07,1.38069e-07
25.5,45.8482,1.53039,0.0107936,1.82203e-05,5.28653e-07,1.32071e-07
25.6,45.8647,1.53138,0.010614,1.77604e-05,5.06067e-07,1.26429e-07
25.7,45.8807,1.53234,0.0104388,1.73154e-05,4.84811e-07,1.21119e-07
25.8,45.8964,1.53328,0.0102681,1.68849e-05,4.64796e-07,1.1612e-07
25.9,45.9117,1.5342,0.0101016,1.64683e-05,4.45939e-07,1.11409e-07
26,45.9266,1.53508,0.00993912,1.60653e-05,4.28164e-07,1.06969e-07
26.1,45.9412,1.53595,0.00978064,1.56754e-05,4.11398e-07,1.02781e-07
26.2,45.9554,1.5368,0.00962598,1.5298e-05,3.95575e-07,9.8828e-08
26.3,45.9693,1.53762,0.00947503,1.49329e-05,3.80632e-07,9.5095e-08
26.4,45.9828,1.53842,0.00932767,1.45794e-05,3.66511e-07,9.15674e-08
26.5,45.9961,1.5392,0.00918378,1.42373e-05,3.53157e-07,8.82315e-08
26.6,46.009,1.53997,0.00904325,1.39061e-05,3.40521e-07,8.50749e-08
26.7,46.0216,1.54071,0.00890597,1.35855e-05,3.28556e-07,8.20857e-08
26.8,46.034,1.54144,0.00877184,1.3275e-05,3.17217e-07,7.92531e-08
26.9,46.046,1.54215,0.00864076,1.29743e-05,3.06465e-07,7.65671e-08
